DATE,USEPUINDXM
2013-02-01,114.65412
2013-03-01,124.94082
2013-04-01,118.71049
2013-05-01,104.30455
2013-06-01,114.61614
2013-07-01,94.03991
2013-08-01,102.77067
2013-09-01,144.40178
2013-10-01,171.02225
2013-11-01,89.90614
2013-12-01,104.60212
2014-01-01,93.50074
2014-02-01,88.98535
2014-03-01,93.46759
2014-04-01,91.11802
2014-05-01,90.39225
2014-06-01,81.00762
2014-07-01,76.64489
2014-08-01,71.26214
2014-09-01,84.33692
2014-10-01,100.20666
2014-11-01,88.56003
2014-12-01,85.18750
2015-01-01,117.16063
2015-02-01,100.31974
2015-03-01,105.21813
2015-04-01,109.64379
2015-05-01,101.01894
2015-06-01,108.95279
2015-07-01,98.91843
2015-08-01,129.69532
2015-09-01,138.72169
2015-10-01,102.89402
2015-11-01,92.10044
2015-12-01,99.34261
2016-01-01,119.01519
2016-02-01,114.62456
2016-03-01,104.19081
2016-04-01,84.25134
2016-05-01,82.04127
2016-06-01,162.62912
2016-07-01,121.96465
2016-08-01,91.82890
2016-09-01,79.80896
2016-10-01,92.51785
2016-11-01,169.37782
2016-12-01,115.15205
2017-01-01,134.86953
2017-02-01,133.33148
2017-03-01,119.77617
2017-04-01,121.57059
2017-05-01,104.17097
2017-06-01,98.75896
2017-07-01,110.75360
2017-08-01,109.17827
2017-09-01,96.75077
2017-10-01,102.16057
2017-11-01,94.48961
2017-12-01,111.49723
2018-01-01,123.65156
2018-02-01,94.00742
2018-03-01,136.33432
2018-04-01,108.21374
2018-05-01,124.93665
2018-06-01,108.62740
2018-07-01,133.08625
2018-08-01,99.13562
2018-09-01,102.66020
2018-10-01,111.51257
2018-11-01,130.22387
2018-12-01,166.28681
2019-01-01,201.03201
2019-02-01,106.90066
2019-03-01,140.24737
2019-04-01,98.73670
2019-05-01,122.53876
2019-06-01,150.11678
2019-07-01,149.97290
2019-08-01,190.46323
2019-09-01,134.36178
2019-10-01,118.48822
2019-11-01,131.75071
2019-12-01,143.46725
2020-01-01,131.39109
2020-02-01,160.51565
2020-03-01,283.14721
2020-04-01,268.61639
2020-05-01,350.45982
2020-06-01,231.25980
2020-07-01,305.96355
2020-08-01,224.42637
2020-09-01,218.05829
2020-10-01,249.17362
2020-11-01,246.70710
2020-12-01,246.12610
2021-01-01,207.91242
2021-02-01,151.93288
2021-03-01,139.80120
2021-04-01,124.88952
2021-05-01,147.01584
2021-06-01,133.57887
2021-07-01,152.91092
2021-08-01,133.81455
2021-09-01,142.06763
2021-10-01,121.95150
2021-11-01,151.28684
2021-12-01,166.24265
2022-01-01,139.23758
2022-02-01,138.05353
2022-03-01,190.01241
2022-04-01,154.66196
2022-05-01,168.00083
2022-06-01,145.97594
2022-07-01,186.92141
2022-08-01,163.23982
2022-09-01,174.18347
2022-10-01,177.42313
2022-11-01,171.73726
2022-12-01,136.43315
2023-01-01,143.09753
2023-02-01,124.10951
2023-03-01,151.93140
2023-04-01,136.76864
