rankdate,Mkt,LLTG_RET,HLTG_RET,LLTG_error,HLTG_error
198712,0.070324,0.0451136311585432,0.0827925764699679,-0.0754758445516083,-0.216883990530838
198801,0.044875,0.0998406150692331,0.000572600851151787,-0.0852124910004432,-0.224075488428012
198802,0.051691,0.0173292674257404,0.0685152700393607,-0.0633697007450705,-0.202181425835165
198803,-0.016598,-0.0259143270955615,-0.0477656405463916,-0.0618456549462893,-0.207175032908292
198804,0.010993,0.0295025922042571,-0.00370074149870766,-0.0554949389305959,-0.22867895326497
198805,0.000447,0.0288823510253431,-0.0107192582083586,-0.0580743945262722,-0.212103981670094
198806,0.051457,0.0360047033287407,0.0676859955704347,-0.0672215179571772,-0.197206327941712
198807,-0.007272,0.0122161589483371,-0.0035647413084839,-0.0732218309995418,-0.200671271966542
198808,-0.028006,-0.0260799288422042,-0.0428896694202394,-0.0719615881732174,-0.211494924101329
198809,0.037204,0.0188571596754845,0.062718596753562,-0.0879631460777307,-0.203866931400287
198810,0.017645,0.0297073539241925,-0.00257845047866194,-0.0790375758531382,-0.221253856415881
198811,-0.016411,-0.010062144953907,-0.019544528201385,-0.084420687175439,-0.263703318894076
198812,0.021071,0.0104457219744822,0.0419269049376336,-0.0844964447511965,-0.250713968178456
198901,0.066101,0.0648324409429338,0.0797024933439109,-0.0762159106408392,-0.197934868341476
198902,-0.016442,-0.031716081492525,-0.0252569225551423,-0.138288772882361,-0.251770550107173
198903,0.021465,0.020703227259671,0.0325622883784373,-0.164021696854944,-0.263420312473332
198904,0.048207,0.0335760082314924,0.0783844307325709,-0.147534055703896,-0.273016831586005
198905,0.039336,0.0354154225706831,0.0765182618864822,-0.145193759480635,-0.279312168651254
198906,-0.004856,0.0124045026403343,-0.0225916138272487,-0.152035527306035,-0.278294294185807
198907,0.077128,0.0602911007822915,0.118129790543031,-0.155306917977999,-0.267203863989077
198908,0.022126,0.00827338033916452,0.021432979591204,-0.155078580046869,-0.254508239543293
